figure_role,method,depth,future_signal,threshold,above_threshold,effective_lookahead_depth,axis_depth_min,axis_depth_max,axis_signal_min,axis_signal_max,note
Fig2_pilot,react_sft_smoke,1,0.07711006222812869,0.05,True,2,1,4,0.0,0.08578811188275513,smoke proxy; replace with intervention-probe measurements for paper figures
Fig2_pilot,react_sft_smoke,2,0.08578811188275513,0.05,True,2,1,4,0.0,0.08578811188275513,smoke proxy; replace with intervention-probe measurements for paper figures
Fig2_pilot,react_sft_smoke,3,0.043878164359339576,0.05,False,2,1,4,0.0,0.08578811188275513,smoke proxy; replace with intervention-probe measurements for paper figures
Fig2_pilot,react_sft_smoke,4,0.03440673187948775,0.05,False,2,1,4,0.0,0.08578811188275513,smoke proxy; replace with intervention-probe measurements for paper figures
